CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
David M. McClanahan,CENTERPOINT ENERGY INC,5742,10794,2007,centerpoint energy
James Kirk Thompson,HUNT (JB) TRANSPRT SVCS INC,5783,482,2007,hunt (jb) transprt svcs
Thomas E. Hoaglin,HUNTINGTON BANCSHARES,5786,2426,2007,huntington bancshares
Steven R. Loranger,ITT INC,5860,26006,2007,itt inc
David B. Speer,ILLINOIS TOOL WORKS,5878,14539,2007,illinois tool works
Herbert L. Henkel,TRANE TECHNOLOGIES PLC,5959,14373,2007,trane technologies plc
Paul S. Otellini,INTEL CORP,6008,14770,2007,intel corp
Samuel J. Palmisano,INTL BUSINESS MACHINES CORP,6066,16485,2007,intl business machines
Robert M. Amen,INTL FLAVORS & FRAGRANCES,6078,23216,2007,intl flavors & fragrances
Thomas J. Matthews,INTL GAME TECHNOLOGY,6097,16031,2007,intl game technology
John V. Faraci,INTL PAPER CO,6104,23217,2007,intl paper
Michael Isor Roth,INTERPUBLIC GROUP OF COS,6136,20069,2007,interpublic group of cos
Craig L. Martin,JACOBS ENGINEERING GROUP INC,6216,8568,2007,jacobs engineering group
William C. Weldon,JOHNSON & JOHNSON,6266,18551,2007,johnson & johnson
John M. Barth,JOHNSON CONTROLS INTL PLC,6268,1472,2007,johnsonntrols intl plc
Richard P. Wallace,KLA CORP,6304,25626,2007,kla corp
Aylwin B. Lewis,SEARS HOLDINGS CORP,6307,24544,2007,sears holdings
Richard D. Kinder,KINDER MORGAN INC,6310,1547,2007,kinder morgan
Michael R. Haverty,KANSAS CITY SOUTHERN,6335,10904,2007,kansas city southern
William B. Moore,EVERGY INC,6338,19896,2007,evergy inc
Allan Douglas-David MacKay,KELLOGG CO,6375,23139,2007,kellogg co
Thomas J. Falk,KIMBERLY-CLARK CORP,6435,5780,2007,kimberly-clark
David B. Dillon,KROGER CO,6502,2771,2007,kroger co
Abhijit Y. Talwalkar,LSI CORP,6529,29613,2007,lsi corp
Stephen G. Newberry,LAM RESEARCH CORP,6565,18574,2007,lam research
David S. Haffner,LEGGETT & PLATT INC,6649,4967,2007,leggett & platt
Raymond Adams Mason,LEGG MASON INC,6653,9311,2007,legg mason
Stuart A. Miller,LENNAR CORP,6669,10425,2007,lennar corp
Ian M. Cumming,JEFFERIES FINANCIAL GRP INC,6682,549,2007,jefferies financial grp
Sidney Taurel,LILLY (ELI) & CO,6730,2773,2007,lilly (eli)
Leslie H. Wexner,L BRANDS INC,6733,555,2007,l brands inc
Jon Andrew Boscia,LINCOLN NATIONAL CORP,6742,2782,2007,lincoln national
William L. McComb,KATE SPADE & CO,6768,30991,2007,kate spade 
Robert J. Stevens,LOCKHEED MARTIN CORP,6774,20910,2007,lockheed martin
James S. Tisch,LOEWS CORP,6781,993,2007,loews corp
John Howard Pinkerton,RANGE RESOURCES CORP,6788,33712,2007,range resources
Robert Alan Niblock,LOWE'S COS INC,6829,26697,2007,lowe's cos inc
Glen E. Tellock,MANITOWOC CO,6994,19477,2007,manitowoc co
"Clarence P. Cazalot, Jr.",MARATHON OIL CORP,7017,14406,2007,marathon oil
Christopher J. Nassetta,HOST HOTELS & RESORTS INC,7063,31068,2007,host hotels & resorts
Michael Griffin Cherkasky,MARSH & MCLENNAN COS,7065,16317,2007,marsh & mclennans
